"ecoevo_names","carnegie_names","checked","State_abbreviation","include_gsheetdb"
"Environmental Markets Lab at UC Santa Barbara","University of California-Santa Barbara","Y","CA","N"
"EnvironScience",NA,"Y",NA,"N"
"EPA",NA,"Y",NA,"N"
"EPA/ORD",NA,"Y",NA,"N"
"Fairleigh Dickinson University","Fairleigh Dickinson University-Metropolitan Campus","Y","NJ","Y"
"Field Museum",NA,"Y",NA,"N"
"Field Museum of Natural History",NA,"Y",NA,"N"
"Field Musuem of Natural History",NA,"Y",NA,"N"
"Flathead Lake Bio Station, U of Montana","The University of Montana","Y","MT","Y"
"Fort Worth Botanic Garden",NA,"Y",NA,"N"
"Franklin & Marshall College","Franklin and Marshall College","Y","PA","Y"
"Funga",NA,"Y",NA,"N"
"Funga PBC",NA,"Y",NA,"N"
"Georgia Institute of Technology","Georgia Institute of Technology-Main Campus","Y","GA","Y"
"Georgia Tech","Georgia Institute of Technology-Main Campus","Y","GA","Y"
"Gloucester Marine Genomics Institute",NA,"Y",NA,"N"
"Grants Community College",NA,"Y",NA,"N"
"Harvard Chan School of Public Health","Harvard University","Y","MA","Y"
"Harvard Forest","Harvard University","Y","MA","Y"
"Harvard Medical School","Harvard University","Y","MA","Y"
"Harvard T.H. Chan School of Public Health","Harvard University","Y","MA","Y"
"Hatfield Marine Science Center, Oregon State University","Oregon State University","Y","OR","Y"
"Hawai'i Institute of Marine Biology at UH Manoa","University of Hawaii at Manoa","Y","HI","Y"
"Hawaiʻi Institute of Marine Biology at UH Mānoa","University of Hawaii at Manoa","Y","HI","Y"
"Hawaii Institute of Marine Biology at UH Manoa","University of Hawaii at Manoa","Y","HI","Y"
"HHMI Janelia",NA,"Y",NA,"N"
"Hobart & William Smith Colleges","Hobart William Smith Colleges","Y","NY","Y"
"Hobart and William Smith Colleges","Hobart William Smith Colleges","Y","NY","Y"
"Hubbs-SeaWorld Research Institute",NA,"Y",NA,"N"
"HudsonAlpha Institute for Biotechnology",NA,"Y",NA,"N"
"HudsonAlpha Institute for Biotechnology & Colorado State University","Colorado State University-Fort Collins","Y","CO","Y"
"Hunter College","CUNY Hunter College","Y","NY","Y"
"Hunter College, City University of New York","CUNY Hunter College","Y","NY","Y"
"Idaho Department of Fish and Game",NA,"Y",NA,"N"
"Illinois Wesleyan College","Illinois Wesleyan University","Y","IL","Y"
"Indiana University","Indiana University-Bloomington","Y","IN","Y"
"Indiana University Indianapolis","Indiana University-Purdue University-Indianapolis","Y","IN","Y"
"Indiana University, Indianapolis","Indiana University-Purdue University-Indianapolis","Y","IN","Y"
"Inter-American Tropical Tuna Commission",NA,"Y",NA,"N"
"Iowa State","Iowa State University","Y","IA","Y"
"Jackson Lab",NA,"Y",NA,"N"
"Kachemak Bay National Estuarine Research Reserve (U Alaska)",NA,"Y",NA,"N"
"Kennesaw State Universty","Kennesaw State University","Y","GA","Y"
"Kent State University","Kent State University at Kent","Y","OH","Y"
"La Brea Tar Pits",NA,"Y",NA,"N"
"Lamont-Doherty Earth Observatory of Columbia University","Columbia University in the City of New York","Y","NY","Y"
"LaSalle University","La Salle University","Y","PA","Y"
"LeMoyne College",NA,"Y",NA,"N"
"Louisiana State University","Louisiana State University and Agricultural & Mechanical College","Y","LA","Y"
"LSU AgCenter","Louisiana State University and Agricultural & Mechanical College","Y","LA","Y"
"Marian University Indianapolis","Marian University","Y","IN","Y"
"Marie Selby Botanical Gardens",NA,"Y",NA,"N"
"Marine Biological Laboratory (MBL)",NA,"Y",NA,"N"
"Mars",NA,"Y",NA,"N"
"Massachusetts College of Art & Design","Massachusetts College of Art and Design","Y","MA","Y"
"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology","Y","MA","Y"
"Memphis Zoo",NA,"Y",NA,"N"
"Miami University","Miami University-Oxford","Y","OH","Y"
"Michigan State U","Michigan State University","Y","MI","Y"
"Michigan State University Extension",NA,"Y",NA,"N"
"Missouri Botanical Garden",NA,"Y",NA,"N"
"Missouri State University","Missouri State University-Springfield","Y","MO","Y"
"Monell Chemical Senses Center",NA,"Y",NA,"N"
"Montana State University, Bozeman","Montana State University","Y","MT","Y"
"Moss Landing Marine Labs/San Jose State University","San Jose State University","Y","CA","Y"
"Museum of Comparative Zoology at Harvard University","Harvard University","Y","MA","Y"
"Museum of Comparative Zoology, Harvard","Harvard University","Y","MA","Y"
"National Institute of Environmental Health Sciences (NIEHS/NIH)",NA,"Y",NA,"N"
"National Museum of Natural History, Smithsonian Institution",NA,"Y",NA,"N"
"National Park Service",NA,"Y",NA,"N"
"National Park Service / University of Nebraska",NA,"Y",NA,"N"
"National Science Foundation",NA,"Y",NA,"N"
"National Tropical Botanical Garden",NA,"Y",NA,"N"
"National Zoo/Smithsonian",NA,"Y",NA,"N"
"Natural History Museum of Los Angeles County",NA,"Y",NA,"N"
"Natural History Museum of Los Angeles County (LACM)",NA,"Y",NA,"N"
"NatureServe",NA,"Y",NA,"N"
"Nazareth College of Rochester","Nazareth College","Y","NY","Y"
"New England Aquarium",NA,"Y",NA,"N"
"New Mexico State University","New Mexico State University-Main Campus","Y","NM","Y"
"New York Botanical Garden",NA,"Y",NA,"N"
"New York University (NYU)","New York University","Y","NY","Y"
"NIH",NA,"Y",NA,"N"
"NIH NHGRI",NA,"Y",NA,"N"
"NOAA",NA,"Y",NA,"N"
"NOAA NCCOS",NA,"Y",NA,"N"
"NOAA Northern Gulf Institute / Mississippi State University","Mississippi State University","Y","MS","Y"
"NOAA Northwest Fisheries Science Center",NA,"Y",NA,"N"
"NOAA/CSS",NA,"Y",NA,"N"
"North Carolina Museum of Natural Sciences",NA,"Y",NA,"N"
"North Carolina State University","North Carolina State University at Raleigh","Y","NC","Y"
"North Dakota State University","North Dakota State University-Main Campus","Y","ND","Y"
"Northern Arizona Univeristy","Northern Arizona University","Y","AZ","Y"
"Northwestern State University","Northwestern State University of Louisiana","Y","LA","Y"
"NYU","New York University","Y","NY","Y"
"Oak Ridge National Lab",NA,"Y",NA,"N"
"Oak Ridge National Laboratory",NA,"Y",NA,"N"
"Ohio State University","Ohio State University-Main Campus","Y","OH","Y"
"Ohio University","Ohio University-Main Campus","Y","OH","Y"
"Oklahoma State","Oklahoma State University-Main Campus","Y","OK","Y"
"Oklahoma State University","Oklahoma State University-Main Campus","Y","OK","Y"
"Oregon State University - Cascades",NA,"Y",NA,"N"
"Oregon State University / NOAA","Oregon State University","Y","OR","Y"
"Oregon State University Marine Mammal Institute","Oregon State University","Y","OR","Y"
"Oregon State University-Cascades",NA,"Y",NA,"N"
"Oxford College of Emory University","Emory University-Oxford College","Y","GA","Y"
"Pacific Northwest National Laboratory",NA,"Y",NA,"N"
"Pacific Northwest Research Institute (PNRI)",NA,"Y",NA,"N"
"Pacific States Marine Fisheries Commission",NA,"Y",NA,"N"
"Paul Smith's College","Paul Smiths College of Arts and Science","Y","NY","Y"
"Penn State","The Pennsylvania State University","Y","PA","Y"
"Penn State Harrisburg",NA,"Y",NA,"N"
"Penn State University","The Pennsylvania State University","Y","PA","Y"
"Pepperdine University (Malibu campus)","Pepperdine University","Y","CA","Y"
"Piedmont University",NA,"Y",NA,"N"
"Purdue University","Purdue University-Main Campus","Y","IN","Y"
"Reef Environmental Education Foundation",NA,"Y",NA,"N"
"Rocky Mountain Biological Laboratory",NA,"Y",NA,"N"
"Rocky Mountain Research Station (USFS)",NA,"Y",NA,"N"
"Rutgers University","Rutgers University-New Brunswick","Y","NJ","Y"
"Rutgers, the State University of New Jersey","Rutgers University-New Brunswick","Y","NJ","Y"
"Saint Mary's College of Notre Dame","Saint Mary's College","Y","IN","Y"
"San Diego Natural History Museum",NA,"Y",NA,"N"
"San Jose State University / Moss Landing Marine Labs","San Jose State University","Y","CA","Y"
"Sarasota Bay Estuary Program",NA,"Y",NA,"N"
"Savannah River Ecology Lab, University of Georgia","University of Georgia","Y","GA","N"
"Scripps & Pitzer Colleges","Scripps College","Y","CA","Y"
"Scripps and Pitzer Colleges","Scripps College","Y","CA","Y"
"Scripps College (Keck Science Center)","Scripps College","Y","CA","Y"
"Scripps Institute of Oceanography","University of California-San Diego","Y","CA","Y"
"Scripps Institution of Oceanography","University of California-San Diego","Y","CA","Y"
"Scripps Institution of Oceanography / UCSD","University of California-San Diego","Y","CA","Y"
"Sewanee: The University of the South","The University of the South","Y","TN","Y"
"Sewanee: University of the South","The University of the South","Y","TN","Y"
"Shoals Marine Lab","University of New Hampshire-Main Campus","Y","NH","Y"
"Smithsonian",NA,"Y",NA,"N"
"Smithsonian Conservation Biology Institute & International Fund for Houbara Conservation",NA,"Y",NA,"N"
"Smithsonian Environmental Research Center",NA,"Y",NA,"N"
"Smithsonian Institution",NA,"Y",NA,"N"
"Smithsonian Institution: National Museum of Natural History",NA,"Y",NA,"N"
"Smithsonian Migratory Bird Center",NA,"Y",NA,"N"
"Smithsonian National Museum of Natural History",NA,"Y",NA,"N"
"South Dakota Sate University","South Dakota State University","Y","SD","Y"
"Southern Arkansas University","Southern Arkansas University Main Campus","Y","AR","Y"
"Southern Illinois University","Southern Illinois University-Carbondale","Y","IL","Y"
"Southern Methodist University (SMU)","Southern Methodist University","Y","TX","Y"
"Springer Nature Group",NA,"Y",NA,"N"
"SPUN",NA,"Y",NA,"N"
"SPUN.earth",NA,"Y",NA,"N"
"St. Andrew and St. Joseph Bays Estuary Program",NA,"Y",NA,"N"
"St. John Fisher College","Saint John Fisher University","Y","NY","Y"
"State University of New York at Geneseo","SUNY College at Geneseo","Y","NY","Y"
"Stephen F. Austin State University",NA,"Y",NA,"N"
"Sul Ross University",NA,"Y",NA,"N"
"SUNY Cobleskill","SUNY College of Agriculture and Technology at Cobleskill","Y","NY","Y"
"SUNY ESF","SUNY College of Environmental Science and Forestry","Y","NY","Y"
"SUNY Geneseo","SUNY College at Geneseo","Y","NY","Y"
"SUNY New Paltz",NA,"Y",NA,"N"
"SUNY Oswego","SUNY College at Oswego","Y","NY","Y"
"SUNY Plattsburgh","SUNY College at Plattsburgh","Y","NY","Y"
"Texas A&M","Texas A & M University-College Station","Y","TX","Y"
"Texas A&M AgriLife Research & Extension - San Angelo",NA,"Y",NA,"N"
"Texas A&M Dept of Biol","Texas A & M University-College Station","Y","TX","Y"
"Texas A&M Galveston",NA,"Y",NA,"N"
"Texas A&M International University","Texas A & M International University","Y","TX","Y"
"Texas A&M University","Texas A & M University-College Station","Y","TX","Y"
"Texas A&M University - College Station","Texas A & M University-College Station","Y","TX","Y"
"Texas A&M University - Corpus Christi","Texas A & M University-Corpus Christi","Y","TX","Y"
"Texas A&M University - Corpus Christi, Harte Research Institute","Texas A & M University-Corpus Christi","Y","TX","Y"
"Texas A&M University - Kingsville","Texas A & M University-Kingsville","Y","TX","Y"
"Texas A&M University (Galveston campus)",NA,"Y",NA,"N"
"Texas A&M University at Galveston",NA,"Y",NA,"N"
"Texas A&M University- Corpus Christi","Texas A & M University-Corpus Christi","Y","TX","Y"
"Texas A&M University–Kingsville","Texas A & M University-Kingsville","Y","TX","Y"
"Texas A&M/AgriLife",NA,"Y",NA,"N"
"Texas State Unviersity","Texas State University","Y","TX","Y"
"The Citadel",NA,"Y",NA,"N"
"The Connecticut Agricultural Experiment Station",NA,"Y",NA,"N"
"The Hotchkiss School",NA,"Y",NA,"N"
"The Jones Center at Ichauway",NA,"Y",NA,"N"
"The Land Institute",NA,"Y",NA,"N"
"The Morton Arboretum",NA,"Y",NA,"N"
"The Nature Conservancy",NA,"Y",NA,"N"
"The Ohio State University","Ohio State University-Main Campus","Y","OH","Y"
"The Peregrine Fund",NA,"Y",NA,"N"
"The Rowland Institute at Harvard","Harvard University","Y","MA","Y"
"The San Francisco Bay National Estuarine Research Reserve/San Francisco State University","San Francisco State University","Y","CA","Y"
"The University of Texas at Austin Marine Science Institute","The University of Texas at Austin","Y","TX","Y"
"The Water Institute of the Gulf",NA,"Y",NA,"N"
"Thomas Jefferson High School for Science and Technology",NA,"Y",NA,"N"
"Tufts Unviersity","Tufts University","Y","MA","Y"
"Tulane University","Tulane University of Louisiana","Y","LA","Y"
"U of Arizona","University of Arizona","Y","AZ","Y"
"U. California Santa Cruz","University of California-Santa Cruz","Y","CA","Y"
"U.S. Army Corps of Engineers",NA,"Y",NA,"N"
"U.S. Department of Agriculture",NA,"Y",NA,"N"
"U.S. Department of Energy, Office of Science",NA,"Y",NA,"N"
"U.S. Fish and Wildlife Service",NA,"Y",NA,NA
"U.S. Forest Service",NA,"Y",NA,"N"
"UC Berkeley","University of California-Berkeley","Y","CA","Y"
"UC Davis","University of California-Davis","Y","CA","Y"
"UC Irvine","University of California-Irvine","Y","CA","Y"
"UC Merced","University of California-Merced","Y","CA","Y"
"UC Riverside","University of California-Riverside","Y","CA","Y"
"UC San Diego","University of California-San Diego","Y","CA","Y"
"UC Santa Barbara","University of California-Santa Barbara","Y","CA","Y"
"UCLA","University of California-Los Angeles","Y","CA","Y"
"UCSB","University of California-Santa Barbara","Y","CA","Y"
"UMass Amherst","University of Massachusetts-Amherst","Y","MA","Y"
"UMass Lowell","University of Massachusetts-Lowell","Y","MA","Y"
"UNC Charlotte","University of North Carolina at Charlotte","Y","NC","Y"
"UNC Pembroke","University of North Carolina at Pembroke","Y","NC","Y"
"UNCC","University of North Carolina at Charlotte","Y","NC","Y"
"United States Department of Agriculture",NA,"Y",NA,"N"
"United States Geological Survey",NA,"Y",NA,"N"
"Univeristy of Montana","The University of Montana","Y","MT","Y"
"Univeristy of North Dakota","University of North Dakota","Y","ND","Y"
"University at Albany",NA,"Y",NA,"N"
"University of Akron","University of Akron Main Campus","Y","OH","Y"
"University of Alaska","University of Alaska Fairbanks","Y","AK","Y"
"University of Alaska Fairbanks, College of Fisheries and Ocean Sciences","University of Alaska Fairbanks","Y","AK","Y"
"University of Alaska Kenai Peninsula",NA,"Y",NA,"N"
"University of Alaska Museum","University of Alaska Fairbanks","Y","AK","Y"
"University of Arizona and Working Lands Conservation","University of Arizona","Y","AZ","Y"
"University of Arizona, Bridging Biodiversity and Conservation Science (BBCS)","University of Arizona","Y","AZ","Y"
"University of Calfornia, San Diego","University of California-San Diego","Y","CA","Y"
"University of California",NA,"Y",NA,"N"
"University of California- Davis","University of California-Davis","Y","CA","Y"
"University of California, Agriculture and Natural Resources",NA,"Y",NA,"N"
"University of Chicago - Chicago Botanic Garden","University of Chicago","Y","IL","Y"
"University of Chicago & MBL","University of Chicago","Y","IL","Y"
"University of Cincinnati","University of Cincinnati-Main Campus","Y","OH","Y"
"University of Cincinnati Blue Ash",NA,"Y",NA,"N"
"University of Colorado","University of Colorado Boulder","Y","CO","Y"
"University of Colorado Boulder: Department of Ecology & Evolutionary Biology","University of Colorado Boulder","Y","CO","Y"
"University of Colorado Denver","University of Colorado Denver/Anschutz Medical Campus","Y","CO","Y"
"University of Connecticut  - Avery Point",NA,"Y",NA,"N"
"University of Connecticut - Avery Point",NA,"Y",NA,"N"
"University of Connecticut, Storrs","University of Connecticut","Y","CT","Y"
"University of Flordia","University of Florida","Y","FL","Y"
"University of Florida (Whitney Lab)","University of Florida","Y","FL","N"
"University of Florida / Florida Museum of Natural History","University of Florida","Y","FL","Y"
"University of Florida in Gainesville","University of Florida","Y","FL","Y"
"University of Florida- WFREC",NA,"Y",NA,"N"
"University of Georgia Marine Institute",NA,"Y",NA,"N"
"University of Hawai'i at Manoa","University of Hawaii at Manoa","Y","HI","Y"
"University of Hawai'i at Manoa (UHM)","University of Hawaii at Manoa","Y","HI","Y"
"University of Hawai'i Manoa","University of Hawaii at Manoa","Y","HI","Y"
"University of Hawai‘i at Mānoa","University of Hawaii at Manoa","Y","HI","Y"
"University of Hawaii","University of Hawaii at Manoa","Y","HI","Y"
"University of Hawaii (Maui)","University of Hawaii Maui College","Y","HI","Y"
"University of Illinois","University of Illinois Urbana-Champaign","Y","IL","Y"
"University of Illinois at Urbana-Champaign / Illinois Natural History Survey","University of Illinois Urbana-Champaign","Y","IL","Y"
"University of Illinois, Illinois Natural History Survey","University of Illinois Urbana-Champaign","Y","IL","Y"
"University of Indiana Bloomington","Indiana University-Bloomington","Y","IN","Y"
"University of Kansas Biodiversity Institute","University of Kansas","Y","KS","Y"
"University of Maryland","University of Maryland-College Park","Y","MD","Y"
"University of Maryland Center for Env. Science","University of Maryland-College Park","Y","MD","Y"
"University of Maryland Center for Environmental Science","University of Maryland-College Park","Y","MD","Y"
"University of Michigan","University of Michigan-Ann Arbor","Y","MI","Y"
"University of Michigan / CIGLR","University of Michigan-Ann Arbor","Y","MI","Y"
"University of Michigan and University of California Santa Barbara",NA,"Y",NA,"N"
"University of Michigan, School for Environment and Sustainability","University of Michigan-Ann Arbor","Y","MI","Y"
"University of Minnesota","University of Minnesota-Twin Cities","Y","MN","Y"
"University of Minnesota - St. Paul Campus","University of Minnesota-Twin Cities","Y","MN","Y"
"University of Minnesota (Twin Cities)","University of Minnesota-Twin Cities","Y","MN","Y"
"University of Missouri","University of Missouri-Columbia","Y","MO","Y"
"University of MIssouri Columbia","University of Missouri-Columbia","Y","MO","Y"
"University of Montana and Rocky Mountain Research Station","The University of Montana","Y","MT","Y"
"University of Montana/ Scripps College","The University of Montana","Y","MT","Y"
"University of New Hampshire","University of New Hampshire-Main Campus","Y","NH","Y"
"University of New Mexico","University of New Mexico-Main Campus","Y","NM","Y"
"University of Oklahoma","University of Oklahoma-Norman Campus","Y","OK","Y"
"University of Pittsburgh","University of Pittsburgh-Pittsburgh Campus","Y","PA","Y"
"University of South Carolina","University of South Carolina-Columbia","Y","SC","Y"
"University of South Florida St. Petersburg Campus",NA,"Y",NA,"N"
"University of South Florida, St. Petersburg Campus",NA,"Y",NA,"N"
"University of Southern California (USC)","University of Southern California","Y","CA","Y"
"University of Tennessee","The University of Tennessee-Knoxville","Y","TN","Y"
"University of Tennessee - EEB / NIMBioS","The University of Tennessee-Knoxville","Y","TN","Y"
"University of Tennessee - NIMBioS","The University of Tennessee-Knoxville","Y","TN","Y"
"University of Tennessee Institute of Agriculture","The University of Tennessee-Knoxville","Y","TN","Y"
"University of Tennessee Microbiology","The University of Tennessee-Knoxville","Y","TN","Y"
"University of Texas - Austin Marine Science Institute","The University of Texas at Austin","Y","TX","Y"
"University of Texas at Austin Marine Science Institute","The University of Texas at Austin","Y","TX","Y"
"University of the South",NA,"Y",NA,"N"
"University of Virginia","University of Virginia-Main Campus","Y","VA","Y"
"University of Virginia at Wise",NA,"Y",NA,"N"
"University of Washington","University of Washington-Seattle Campus","Y","WA","Y"
"University of Washington (Friday Harbor Lab)","University of Washington-Seattle Campus","Y","WA","Y"
"University of Washington and Burke Museum","University of Washington-Seattle Campus","Y","WA","Y"
"University of Washington Cooperative Institute for Climate, Ocean, and Ecosystem Studies","University of Washington-Seattle Campus","Y","WA","Y"
"University of Washington Tacoma","University of Washington-Tacoma Campus","Y","WA","Y"
